date,Forecast_rain_sum,Historical_rain_sum,District Code,Cluster,State RSM,RSM Name,County/District,Zone,State Standard,Discount RSM,Lat,Long
2025-06-19,1.5,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-20,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-21,0.2,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-22,0.1,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-23,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-24,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-25,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-26,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-27,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-28,0.3,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-29,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-30,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-07-01,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-07-02,0.0,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-07-03,1.4,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-07-04,0.6,,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-14,,10.9,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-15,,3.9,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-16,,16.5,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-17,,10.0,102,South 1,KL,Kerala South,Port Blair,South 1,KL,Kerala,11.6233774,92.7264828
2025-06-19,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-20,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-21,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-22,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-23,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-24,8.2,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-25,11.9,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-26,0.3,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-27,0.2,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-28,0.9,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-29,0.1,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-30,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-07-01,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-07-02,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-07-03,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-07-04,0.0,,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-14,,13.3,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-15,,0.1,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-16,,6.6,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-17,,0.0,103,South 2,TG,Telangana,Adilabad,South 2,TG,TG,19.6765668,78.5320841
2025-06-19,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-20,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-21,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-22,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-23,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-24,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-25,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-26,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-27,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-28,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-29,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-30,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-07-01,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-07-02,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-07-03,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-07-04,0.0,,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-14,,0.1,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-15,,7.9,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-16,,1.2,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-17,,0.1,104,South 2,AP,Andhra Pradesh ,Anantapur,South 2,AP,AP,14.6818877,77.6005911
2025-06-19,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-20,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-21,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-22,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-23,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-24,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-25,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-26,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-27,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-28,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-29,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-30,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-07-01,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-07-02,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-07-03,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-07-04,0.0,,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-14,,3.6,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-15,,0.0,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-16,,0.0,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-17,,0.5,105,South 2,AP,Andhra Pradesh ,Chittoor,South 2,AP,AP,13.217176,79.1003289
2025-06-19,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-20,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-21,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-22,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-23,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-24,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-25,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-26,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-27,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-28,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-29,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-30,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-07-01,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-07-02,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-07-03,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-07-04,0.0,,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-14,,1.6,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-15,,18.8,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-16,,0.2,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-17,,0.0,106,South 2,AP,Andhra Pradesh ,Cuddapah,South 2,AP,AP,14.4673154,78.8242089
2025-06-19,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-20,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-21,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-22,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-23,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-24,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-25,5.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-26,0.1,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-27,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-28,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-29,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-30,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-07-01,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-07-02,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-07-03,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-07-04,0.0,,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-14,,19.2,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-15,,3.8,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-16,,3.5,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-17,,0.3,107,South 2,AP,Andhra Pradesh ,East Godavari,South 2,AP,AP,17.32125,82.0407137
2025-06-19,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-20,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-21,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-22,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-23,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-24,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-25,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-26,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-27,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-28,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-29,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-30,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-07-01,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-07-02,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-07-03,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-07-04,0.0,,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-14,,6.7,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-15,,2.0,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-16,,4.5,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-17,,0.0,108,South 2,AP,Andhra Pradesh ,Guntur,South 2,AP,AP,16.3066525,80.4365402
2025-06-19,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-20,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-21,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-22,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-23,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-24,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-25,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-26,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-27,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-28,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-29,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-30,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-07-01,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-07-02,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-07-03,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-07-04,0.0,,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-14,,1.2,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-15,,5.3,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-16,,1.6,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-17,,0.1,109,South 2,TG,Telangana,Hyderabad,South 2,TG,TG,17.406498,78.4772439
2025-06-19,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-20,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-21,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-22,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-23,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-24,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-25,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-26,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-27,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-28,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-29,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-30,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-07-01,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-07-02,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-07-03,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-07-04,0.0,,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-14,,1.2,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-15,,5.3,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-16,,1.6,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-17,,0.1,112,South 2,TG,Telangana,Hyderabad.B,South 2,TG,TG,17.406498,78.4772439
2025-06-19,0.0,,113,South 2,TG,Telangana,Karimnagar,South 2,TG,TG,18.4385553,79.1288412
2025-06-20,0.0,,113,South 2,TG,Telangana,Karimnagar,South 2,TG,TG,18.4385553,79.1288412
2025-06-21,0.0,,113,South 2,TG,Telangana,Karimnagar,South 2,TG,TG,18.4385553,79.1288412
2025-06-22,0.0,,113,South 2,TG,Telangana,Karimnagar,South 2,TG,TG,18.4385553,79.1288412
2025-06-23,0.0,,113,South 2,TG,Telangana,Karimnagar,South 2,TG,TG,18.4385553,79.1288412
2025-06-24,1.3,,113,South 2,TG,Telangana,Karimnagar,South 2,TG,TG,18.4385553,79.1288412
